Country/Region,Country factor,EEA/SW/UK or Non
Albania,28,Non
Algeria,28.6,Non
Australia,115.9,Non
Austria,120.5,EEA/SW/UK
Azerbaijan,37.8,Non
Bahamas,49.9,Non
Bangladesh,17.8,Non
Barbados,30.5,Non
Belarus,46.9,Non
Belgium,100,EEA/SW/UK
Benin,7.7,Non
Bermuda,165.3,Non
Bhutan,25.1,Non
Bolivia,19.3,Non
Brazil,32.2,Non
Brunei,148,Non
Bulgaria,59.1,EEA/SW/UK
Cambodia,8.7,Non
Cameroon,8.7,Non
Canada,105.3,Non
Cayman Islands,86.9,Non
Chile,47.9,Non
China,46,Non
Colombia,33,Non
Costa Rica,36.5,Non
Croatia,66.5,EEA/SW/UK
Cyprus,95,EEA/SW/UK
Czech Republic,74.1,EEA/SW/UK
Denmark,124.9,EEA/SW/UK
East Timor,8.5,Non
Ecuador,25.3,Non
Egypt,37.9,Non
El Salvador,17.8,Non
Estonia,67.9,EEA/SW/UK
Eswatini,20.3,Non
Ethiopia,5.3,Non
Finland,104.7,EEA/SW/UK
France,100,EEA/SW/UK
Georgia,38.8,Non
Germany,120.2,EEA/SW/UK
Ghana,12.2,Non
Greece,63.2,EEA/SW/UK
Guatemala,22.3,Non
Haiti,5.1,Non
Honduras,10.4,Non
Hong Kong,129.4,Non
Hungary,63.8,EEA/SW/UK
Iceland,125,EEA/SW/UK
India,19,Non
Indonesia,25.6,Non
Iraq,24.4,Non
Ireland,138.4,EEA/SW/UK
Israel,92.5,Non
Italy,94.2,EEA/SW/UK
Japan,92.3,Non
Kazakhstan,52.8,Non
Kenya,11.9,Non
Kyrgyzstan,9.7,Non
Laos,14.9,Non
Lebanon,7.5,Non
Lesotho,6.4,Non
Libya,55,Non
Lithuania,87,EEA/SW/UK
Luxembourg,160.4,EEA/SW/UK
Macao,116.9,Non
Malaysia,65.9,Non
Malta,105,EEA/SW/UK
Mauritania,12.4,Non
Mexico,35.2,Non
Mongolia,28.1,Non
Montenegro,59.1,Non
Morocco,16.1,Non
Myanmar,8.9,Non
Nepal,9.2,Non
Netherlands,125.4,EEA/SW/UK
New Caledonia,63.2,Non
New Zealand,91.2,Non
Nigeria,10.5,Non
Norway,199.7,EEA/SW/UK
Pakistan,12.5,Non
Palau,25.1,Non
Philippines,20.2,Non
Poland,73,EEA/SW/UK
Portugal,73.3,EEA/SW/UK
Qatar,161.2,Non
Romania,67.6,EEA/SW/UK
Russia,74.9,Non
Saudi Arabia,100,Non
Serbia,36.2,Non
Singapore,160.1,Non
Slovakia,73,EEA/SW/UK
Slovenia,91,EEA/SW/UK
South Africa,29,Non
South Korea,87.8,Non
Spain,84.7,EEA/SW/UK
Sri Lanka,22.7,Non
Suriname,38.8,Non
Sweden,132.4,EEA/SW/UK
Switzerland,133.5,EEA/SW/UK
Tajikistan,8.5,Non
Tanzania,8,Non
Thailand,39.5,Non
Tunisia,22.4,Non
Turkey,66.9,Non
Turks and Caicos Islands,35.7,Non
Ukraine,31.5,Non
United Arab Emirates,130.8,Non
United Kingdom,91.1,EEA/SW/UK
United States,142,Non
Uzbekistan,16.3,Non
Vanuatu,6.5,Non
Vietnam,24.7,Non
Virgin Islands,24.4,Non
Zambia,7,Non
Zimbabwe,13.6,Non